row_id,source_file,record_count,record_length,field_name,field_type,field_length,decimal_count
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,MAPLINKID,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,HWYSEGNUM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,RT,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,RT_NUM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,AUX,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,DIR,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,BEGIN_TM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,END_TM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,LENGTH,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,FROM_REFP,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,TO_REFP,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,FROM_DESC,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,TO_DESC,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,ATP,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,DISTRICT,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,PAVEMT,C,254,0
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,RQI_YEAR,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,RQI_MRM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,SR_YEAR,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,SR_MRM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,PQI_MRM,N,16,6
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,BEG_Y_LAT,F,13,11
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,BEG_X_LONG,F,13,11
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,END_Y_LAT,F,13,11
paper-2019-14,data/source_mndot_2015_pavement/2015_M-Rec_Pvmt_Condition.dbf,15931,2531,END_X_LONG,F,13,11
